"file","input_bytes","archive_bytes","bits_per_byte","compression_ratio","input_sha256","archive_sha256","decoded_bytes","decoded_sha256","length_match","sha256_match","roundtrip","result_source","encode_seconds","decode_seconds","encode_peak_working_set_bytes","decode_peak_working_set_bytes","baseline_archive_bytes","baseline_delta_bytes","baseline_delta_percent"
"dickens","10192446","2134355","1.675244588","4.775422083","B24C37886142E11D0EE687DB6AB06F936207AA7F2EA1FD1D9A36763C7A507E6A","26214222700F65F74D4A8D0D258FE83CBC0AAB1C21988B086AB7366A1862550B","10192446","B24C37886142E11D0EE687DB6AB06F936207AA7F2EA1FD1D9A36763C7A507E6A","True","True","PASS","original-full-run","2893.056","1601.252","401629184",,,,
"mozilla","51220480","7082696","1.106228758","7.231777278","657FC3764B0C75AC9DE9623125705831EBBFBE08FED248DF73BC2DC66E2A963B","04C888CE289C0529ED55A5A74F11B458B0DF3B2D395815993E703D4BCD2CECE7","51220480","657FC3764B0C75AC9DE9623125705831EBBFBE08FED248DF73BC2DC66E2A963B","True","True","PASS","original-full-run","18758.716","9435.601","1840058368",,,,
"mr","9970564","1964351","1.576120268","5.075754791","68637ED52E3E4860174ED2DC0840AC77D5F1A60ABBCB13770D5754E3774D53E6","233D732F3FF82B71B3BF1623100C1804D33B6E3EF408D78F4B1D6364C8A7629F","9970564","68637ED52E3E4860174ED2DC0840AC77D5F1A60ABBCB13770D5754E3774D53E6","True","True","PASS","original-full-run","4494.285","1466.705","579796992",,,,
"nci","33553445","915279","0.218225938","36.659253626","FC63A31770947B8C2062D3B19CA94C00485A232BB91B502021948FEE983E1635","AE4F4919CF21FD33DB0563AACB0151A2C3C6CDC5FC947AC8F06D82E6C055E0CC","33553445","FC63A31770947B8C2062D3B19CA94C00485A232BB91B502021948FEE983E1635","True","True","PASS","original-full-run","5960.984","2497.979","390684672",,,,
"ooffice","6152192","1428445","1.85747779","4.306915562","E7EE013880D34DD5208283D0D3D91B07F442E067454276095DED14F322A656EB","7D9919090AF02D26E1C1AEFA2E4A668E344A1266D295BF0082C5D0239D40E0C9","6152192","E7EE013880D34DD5208283D0D3D91B07F442E067454276095DED14F322A656EB","True","True","PASS","original-full-run","8458.962","1086.061","592900096",,,,
"osdb","10085684","2120697","1.682144315","4.75583452","60F027179302CA3AD87C58AC90B6BE72EC23588AAA7A3B7FE8ECC0F11DEF3FA3","CB54197AFCDB32C65066B5998A6A81379D4A53D2B6576C593C987FE7EBF1ECA3","10085684","60F027179302CA3AD87C58AC90B6BE72EC23588AAA7A3B7FE8ECC0F11DEF3FA3","True","True","PASS","original-full-run","9545.021","2147.267","586711040",,,,
"reymont","6627202","853403","1.030181968","7.765618354","0EAC0114A3DFE6E2EE1F345A0F79D653CB26C3BC9F0ED79238AF4933422B7578","7424AAF055C23498E0835196A4B69017FFB25C69CEC26799A9AF915806E1A5E1","6627202","0EAC0114A3DFE6E2EE1F345A0F79D653CB26C3BC9F0ED79238AF4933422B7578","True","True","PASS","original-full-run","1636.249","1254.692","575352832",,,,
"samba","21606400","1979660","0.732990225","10.914197387","93BA07BC44D8267789C1D911992F40B089FFA2140B4A160FAC11CCAE9A40E7B2","09ED18500963B763BE413C9132DFAC9EF3BAB545CD50BB75D7B768C1FF8BC4AF","21606400","93BA07BC44D8267789C1D911992F40B089FFA2140B4A160FAC11CCAE9A40E7B2","True","True","PASS","original-full-run","11692.281","2141.011","806416384",,,,
"sao","7251944","3767793","4.156450188","1.924719325","C2D0EA2CC59D4C21B7FE43A71499342A00CBE530A1D5548770E91ECD6214ADCC","E7C5A44406F34B163EF4716ADB9BC31063FCC642D6E78ACA8B5580203ECD82FD","7251944","C2D0EA2CC59D4C21B7FE43A71499342A00CBE530A1D5548770E91ECD6214ADCC","True","True","PASS","isolated-full-run","1204.66","1218.266","587891402",,"3769793","-2000","-0.053053310884709055"
"webster","41458703","5458288","1.053248193","7.595550656","6A68F69B26DAF09F9DD84F7470368553194A0B294FCFA80F1604EFB11143A383","E1B9D792D0559E895F104E77CB1A0E2519497FF947F87991C9EA16361FFB1139","41458703","6A68F69B26DAF09F9DD84F7470368553194A0B294FCFA80F1604EFB11143A383","True","True","PASS","original-full-run","10942.318","4923.339","0",,,,
"x-ray","8474240","3576943","3.376768182","2.36912917","7DE9FCE1405DC44AE5E6813ED21CD5751E761BD4265655A005D39B9685D1C9AD","01D0C8F66A259672289C84BF1ADA98A529A78333F4B1FE715C68402A71AF5C91","8474240","7DE9FCE1405DC44AE5E6813ED21CD5751E761BD4265655A005D39B9685D1C9AD","True","True","PASS","repaired-redecode","2165.08","1221.66","587891438","587891733",,,
"xml","5345280","272795","0.408277957","19.594494034","0E82E54E695C1938E4193448022543845B33020C8BE6BF3BF3EAD2224903E08C","E2F101D49C6C81BE3BD3ACDF0DA61B617403BD7A14CE841B9F81D4B22FEA8AAE","5345280","0E82E54E695C1938E4193448022543845B33020C8BE6BF3BF3EAD2224903E08C","True","True","PASS","repaired-missing-decode","673.66","474.56","713638149","717176415",,,
